# This file was automatically generated:
#	Running: extract-unihan.exe -keyword kCangjie unihan.txt
#	When:              Sun Aug 26 02:35:38 2007
#	Program's author:  Hoc D. Ngo (trichlor@trichlor.org, hoc96@yahoo.com)
#
# Info on original database file:
#
#	@.Master database name: Unihan database
#	@.Unicode version: 5.0.0
#	@.Table version: 1.1
#	@.Date: 7 July 2006
#	@.Info:  http://www.unicode.org/charts/unihan.html
#	@.Download:  ftp://ftp.unicode.org/Public/UNIDATA/unihan.zip
#
# The first column is Unicode codepoint in hexadecimal digits (i.e., U+xxxx)
###############################################################################
U+3400	TM
U+3401	MOW
U+3402	PPP
U+3403	OML
U+3404	JV
U+3405	K
U+3406	HSMS
U+3407	KNN
U+3408	ON
U+3409	MNN
U+340A	GN
U+340B	GN
U+340C	OPD
U+340D	BN
U+340E	YKN
U+340F	MMN
U+3410	VEN
U+3411	HEYN
U+3412	SRN
U+3413	MNRN
U+3414	YRN
U+3415	LWN
U+3416	GRU
U+3417	JPN
U+3418	FDN
U+3419	MRTN
U+341A	MMRN
U+341B	ORN
U+341C	IEKN
U+341D	QRN
U+341E	TCN
U+341F	LYN
U+3420	BUN
U+3421	KNMBK
U+3422	EDN
U+3423	IJJN
U+3424	KNJBC
U+3425	CSN
U+3426	HQN
U+3427	INNH
U+3428	NNNIN
U+3429	TTTT
U+342A	YOU
U+342B	YUK
U+342C	YIHU
U+342D	YWR
U+342E	YCTTV
U+342F	YRRA
U+3430	OR
U+3431	OHHH
U+3432	OK
U+3433	OMU
U+3434	ONI
U+3435	OMD
U+3436	ORU
U+3437	ONVM
U+3438	ONO
U+3439	OOMN
U+343A	OOO
U+343B	OOB
U+343C	OHT
U+343D	OHNK
U+343E	OMMU
U+343F	OQ
U+3440	OKI
U+3441	OUU
U+3442	OMOB
U+3443	OVIS
U+3444	OWYI
U+3445	OOYM
U+3446	ORHU
U+3447	ONSM
U+3448	OKD
U+3449	OHNN
U+344A	OYLC
U+344B	OTW
U+344C	OSMG
U+344D	OQD
U+344E	OVVU
U+344F	OJDI
U+3450	OYMF
U+3451	OHBU
U+3452	OMLO
U+3453	OIKE
U+3454	OMBO
U+3455	OUNI
U+3456	OOL
U+3457	OHXH
U+3458	OIT
U+3459	OSJU
U+345A	OSQL
U+345B	ODL
U+345C	OQHL
U+345D	OMGT
U+345E	OFT
U+345F	OOMC
U+3460	OLEG
U+3461	OAIL
U+3462	OGIL
U+3463	ODD
U+3464	OTW
U+3465	OAPH
U+3466	OISK
U+3467	OHDD
U+3468	OROK
U+3469	OWLN
U+346A	OYKL
U+346B	OOIP
U+346C	OVJR
U+346D	OWML
U+346E	OBJJ
U+346F	OMBC
U+3470	OVNO
U+3471	ONHD
U+3472	OJBJ
U+3473	OPUU
U+3474	OSME
U+3475	OKOK
U+3476	OOND
U+3477	OIBP
U+3478	OJRR
U+3479	OMWA
U+347A	OOGS
U+347B	OJPU
U+347C	OWHR
U+347D	OFBG
U+347E	OBYR
U+347F	OVVD
U+3480	OYCB
U+3481	OWGJ
U+3482	OTJA
U+3483	OIPC
U+3484	OBKF
U+3485	OYNV
U+3486	OORM
U+3487	OOTF
U+3488	ONJK
U+3489	OFBD
U+348A	OSIM
U+348B	OTCL
U+348C	OFFN
U+348D	OIIF
U+348E	OMKY
U+348F	OJTY
U+3490	OHPA
U+3491	OSEG
U+3492	OTCD
U+3493	OYGQ
U+3494	OWLI
U+3495	OYVG
U+3496	OTWB
U+3497	OTBG
U+3498	OSET
U+3499	OVFB
U+349A	OBMP
U+349B	OSMG
U+349C	OHXC
U+349D	OTWI
U+349E	OUOS
U+349F	OYSV
U+34A0	OYEM
U+34A1	OBUF
U+34A2	OOMB
U+34A3	OIOP
U+34A4	OSJJ
U+34A5	OUJT
U+34A6	OWWG
U+34A7	OYBG
U+34A8	OHXU
U+34A9	OVOI
U+34AA	OSSO
U+34AB	MYMU
U+34AC	MUMG
U+34AD	RURHU
U+34AE	MUMSO
U+34AF	FUTMJ
U+34B0	OM
U+34B1	ONI
U+34B2	OA
U+34B3	BLOO
U+34B4	OUU
U+34B5	HAC
U+34B6	CHA
U+34B7	BOMC
U+34B8	TPHO
U+34B9	JCJBC
U+34BA	BTOV
U+34BB	ABUU
U+34BC	TLBO
U+34BD	AFQU
U+34BE	AYSD
U+34BF	AYBG
U+34C0	BY
U+34C1	BC
U+34C2	BMUV
U+34C3	BYRP
U+34C4	IHLBU
U+34C5	IMMN
U+34C6	IMOP
U+34C7	IMHK
U+34C8	IMMR
U+34C9	IMHJR
U+34CA	IMBMR
U+34CB	IMTC
U+34CC	IMOMG
U+34CD	IMYIU
U+34CE	IMSME
U+34CF	IMBCR
U+34D0	IMGCG
U+34D1	IMGTJ
U+34D2	IPOP
U+34D3	IMJBJ
U+34D4	IMHHI
U+34D5	IMIHF
U+34D6	IMWTJ
U+34D7	IMQHF
U+34D8	HNMNI
U+34D9	UYK
U+34DA	MLN
U+34DB	MSH
U+34DC	VISH
U+34DD	TTLN
U+34DE	QJSH
U+34DF	DELN
U+34E0	YRLN
U+34E1	OULN
U+34E2	HRLN
U+34E3	ORLN
U+34E4	GRLN
U+34E5	FSLN
U+34E6	MALN
U+34E7	ORLN
U+34E8	KOLN
U+34E9	NBLN
U+34EA	IVSH
U+34EB	KTLN
U+34EC	FHLN
U+34ED	AVLN
